,School Name,Region,School Type,Undergraduate Major,Adjusted Salary
314,Carnegie Mellon University (CMU),Northeastern,Engineering,Construction,69456
315,Carnegie Mellon University (CMU),Northeastern,Engineering,Criminal Justice,50756
316,Carnegie Mellon University (CMU),Northeastern,Engineering,Drama,51656
317,Carnegie Mellon University (CMU),Northeastern,Engineering,Economics,65856
318,Carnegie Mellon University (CMU),Northeastern,Engineering,Education,50656
319,Carnegie Mellon University (CMU),Northeastern,Engineering,Electrical Engineering,76656
320,Carnegie Mellon University (CMU),Northeastern,Engineering,English,53756
321,Carnegie Mellon University (CMU),Northeastern,Engineering,Film,53656
322,Carnegie Mellon University (CMU),Northeastern,Engineering,Finance,63656
323,Carnegie Mellon University (CMU),Northeastern,Engineering,Forestry,54856
324,Carnegie Mellon University (CMU),Northeastern,Engineering,Geography,56956
325,Carnegie Mellon University (CMU),Northeastern,Engineering,Geology,59256
326,Carnegie Mellon University (CMU),Northeastern,Engineering,Graphic Design,51456
327,Carnegie Mellon University (CMU),Northeastern,Engineering,Health Care Administration,54556
328,Carnegie Mellon University (CMU),Northeastern,Engineering,History,54956
329,Carnegie Mellon University (CMU),Northeastern,Engineering,Hospitality & Tourism,53556
330,Carnegie Mellon University (CMU),Northeastern,Engineering,Industrial Engineering,73456
331,Carnegie Mellon University (CMU),Northeastern,Engineering,Information Technology (IT),64856
332,Carnegie Mellon University (CMU),Northeastern,Engineering,Interior Design,51856
333,Carnegie Mellon University (CMU),Northeastern,Engineering,International Relations,56656
334,Carnegie Mellon University (CMU),Northeastern,Engineering,Journalism,51356
335,Carnegie Mellon University (CMU),Northeastern,Engineering,Management Information Systems (MIS),64956
336,Carnegie Mellon University (CMU),Northeastern,Engineering,Marketing,56556
337,Carnegie Mellon University (CMU),Northeastern,Engineering,Math,61156
338,Carnegie Mellon University (CMU),Northeastern,Engineering,Mechanical Engineering,73656
339,Carnegie Mellon University (CMU),Northeastern,Engineering,Music,51656
340,Carnegie Mellon University (CMU),Northeastern,Engineering,Nursing,69956
341,Carnegie Mellon University (CMU),Northeastern,Engineering,Nutrition,55656
342,Carnegie Mellon University (CMU),Northeastern,Engineering,Philosophy,55656
343,Carnegie Mellon University (CMU),Northeastern,Engineering,Physician Assistant,90056
344,Carnegie Mellon University (CMU),Northeastern,Engineering,Physics,66056
345,Carnegie Mellon University (CMU),Northeastern,Engineering,Political Science,56556
346,Carnegie Mellon University (CMU),Northeastern,Engineering,Psychology,51656
347,Carnegie Mellon University (CMU),Northeastern,Engineering,Religion,49856
348,Carnegie Mellon University (CMU),Northeastern,Engineering,Sociology,52256
349,Carnegie Mellon University (CMU),Northeastern,Engineering,Spanish,49756
350,Rensselaer Polytechnic Institute (RPI),Northeastern,Engineering,Accounting,61056
351,Rensselaer Polytechnic Institute (RPI),Northeastern,Engineering,Aerospace Engineering,72756
352,Rensselaer Polytechnic Institute (RPI),Northeastern,Engineering,Agriculture,57656
353,Rensselaer Polytechnic Institute (RPI),Northeastern,Engineering,Anthropology,51856
354,Rensselaer Polytechnic Institute (RPI),Northeastern,Engineering,Architecture,56656
355,Rensselaer Polytechnic Institute (RPI),Northeastern,Engineering,Art History,50856
356,Rensselaer Polytechnic Institute (RPI),Northeastern,Engineering,Biology,53856
357,Rensselaer Polytechnic Institute (RPI),Northeastern,Engineering,Business Management,58056
358,Rensselaer Polytechnic Institute (RPI),Northeastern,Engineering,Chemical Engineering,78256
359,Rensselaer Polytechnic Institute (RPI),Northeastern,Engineering,Chemistry,57656
360,Rensselaer Polytechnic Institute (RPI),Northeastern,Engineering,Civil Engineering,68956
361,Rensselaer Polytechnic Institute (RPI),Northeastern,Engineering,Communications,53156
362,Rensselaer Polytechnic Institute (RPI),Northeastern,Engineering,Computer Engineering,76456
363,Rensselaer Polytechnic Institute (RPI),Northeastern,Engineering,Computer Science,70956
364,Rensselaer Polytechnic Institute (RPI),Northeastern,Engineering,Construction,68756
365,Rensselaer Polytechnic Institute (RPI),Northeastern,Engineering,Criminal Justice,50056
366,Rensselaer Polytechnic Institute (RPI),Northeastern,Engineering,Drama,50956
367,Rensselaer Polytechnic Institute (RPI),Northeastern,Engineering,Economics,65156
368,Rensselaer Polytechnic Institute (RPI),Northeastern,Engineering,Education,49956
369,Rensselaer Polytechnic Institute (RPI),Northeastern,Engineering,Electrical Engineering,75956
370,Rensselaer Polytechnic Institute (RPI),Northeastern,Engineering,English,53056
371,Rensselaer Polytechnic Institute (RPI),Northeastern,Engineering,Film,52956
372,Rensselaer Polytechnic Institute (RPI),Northeastern,Engineering,Finance,62956
373,Rensselaer Polytechnic Institute (RPI),Northeastern,Engineering,Forestry,54156
374,Rensselaer Polytechnic Institute (RPI),Northeastern,Engineering,Geography,56256
375,Rensselaer Polytechnic Institute (RPI),Northeastern,Engineering,Geology,58556
376,Rensselaer Polytechnic Institute (RPI),Northeastern,Engineering,Graphic Design,50756
377,Rensselaer Polytechnic Institute (RPI),Northeastern,Engineering,Health Care Administration,53856
378,Rensselaer Polytechnic Institute (RPI),Northeastern,Engineering,History,54256
379,Rensselaer Polytechnic Institute (RPI),Northeastern,Engineering,Hospitality & Tourism,52856
380,Rensselaer Polytechnic Institute (RPI),Northeastern,Engineering,Industrial Engineering,72756
381,Rensselaer Polytechnic Institute (RPI),Northeastern,Engineering,Information Technology (IT),64156
382,Rensselaer Polytechnic Institute (RPI),Northeastern,Engineering,Interior Design,51156
383,Rensselaer Polytechnic Institute (RPI),Northeastern,Engineering,International Relations,55956
384,Rensselaer Polytechnic Institute (RPI),Northeastern,Engineering,Journalism,50656
385,Rensselaer Polytechnic Institute (RPI),Northeastern,Engineering,Management Information Systems (MIS),64256
386,Rensselaer Polytechnic Institute (RPI),Northeastern,Engineering,Marketing,55856
387,Rensselaer Polytechnic Institute (RPI),Northeastern,Engineering,Math,60456
388,Rensselaer Polytechnic Institute (RPI),Northeastern,Engineering,Mechanical Engineering,72956
389,Rensselaer Polytechnic Institute (RPI),Northeastern,Engineering,Music,50956
390,Rensselaer Polytechnic Institute (RPI),Northeastern,Engineering,Nursing,69256
